id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,google_product_category,sale_price,additional_image_link,size,color,gender,material,header_image_link
2TL_HP318K1AAR,HP S01-aF2003w Slim Desktop Intel Celeron J4025 2.0GHz 4GB Ram 256GB SSD Bluetooth WiFi Windows 11 Home (Refurbished),HP S01-aF2003w Slim Desktop Intel Celeron J4025 2.0GHz 4GB Ram 256GB SSD Bluetooth WiFi Windows 11 Home (Refurbished),in stock,new,129.99 USD,https://store.flexshopper.com/hp-s01-af2003w-slim-desktop-intel-celeron-j4025-20ghz-4gb-ram-256gb-ssd-bluetooth-wifi-windows-11-home-refurbished-2tlhp318k1aar,http://localhost:3000/resized/2TL_HP318K1AAR.jpg,Flexshopper,10000,42,3.87 USD,https://store.flexshopper.com/media/catalog/product/c/1/c10199ea-1f7c-4846-a5aa-46b965c4a909.7e3eee0b78bf7e69bfa8ec91e304b8fa.jpeg,,,,9ffd8a35d8e367866b3361ec7cdd48eb,https://store.flexshopper.com/media/catalog/product/c/1/c10199ea-1f7c-4846-a5aa-46b965c4a909.7e3eee0b78bf7e69bfa8ec91e304b8fa.jpeg
2TL_HP6T8H4U8R,HP ENVY TE01-3067c Desktop Intel Core i5-12400 2.5GHz 12GB RAM 512GB SSD Wi-Fi Bluetooth Windows 10 Home(Refurbished),HP ENVY TE01-3067c Desktop Intel Core i5-12400 2.5GHz 12GB RAM 512GB SSD Wi-Fi Bluetooth Windows 10 Home(Refurbished),in stock,new,489.99 USD,https://store.flexshopper.com/hp-envy-te01-3067c-desktop-intel-core-i5-12400-25ghz-12gb-ram-512gb-ssd-wi-fi-bluetooth-windows-10-homerefurbished-2tlhp6t8h4u8r,http://localhost:3000/resized/2TL_HP6T8H4U8R.jpg,Flexshopper,10000,42,14.61 USD,https://store.flexshopper.com/media/catalog/product/h/p/hp_319m5aa_aba_envy_i7_12700_16gb_1tb_512gb_1701767.jpg,,,,abbcfc85ae150c442bc1cde08eedc5e9,https://store.flexshopper.com/media/catalog/product/h/p/hp_319m5aa_aba_envy_i7_12700_16gb_1tb_512gb_1701767.jpg
2TL_HP7K927UAR,"HP 15-FD0357NR 15.6"" FHD Touchscreen Laptop Intel Core i7-1355U 3.7GHz 12GB RAM 512GB SSD Windows 11 Home (Refurbished)","HP 15-FD0357NR 15.6"" FHD Touchscreen Laptop Intel Core i7-1355U 3.7GHz 12GB RAM 512GB SSD Windows 11 Home (Refurbished)",in stock,new,629.99 USD,https://store.flexshopper.com/hp-15-fd0357nr-156-fhd-touchscreen-laptop-intel-core-i7-1355u-37ghz-12gb-ram-512gb-ssd-windows-11-home-refurbished-2tlhp7k927uar,http://localhost:3000/resized/2TL_HP7K927UAR.jpg,Flexshopper,10000,42,18.78 USD,https://store.flexshopper.com/media/catalog/product/r/e/renn_4d8cc36c44aca7c733481d32c7bdc2d0.jpeg,,,,0a9c203d12a6ebc9a95fb198d054c237,https://store.flexshopper.com/media/catalog/product/r/e/renn_4d8cc36c44aca7c733481d32c7bdc2d0.jpeg
2TL_HP7L2C7UAR,"HP 15-FD0083WM 15.6"" HD Laptop Intel Pentium N200 1.1GHz 4GB RAM 128GB SSD Windows 11 Home S(Refurbished)","HP 15-FD0083WM 15.6"" HD Laptop Intel Pentium N200 1.1GHz 4GB RAM 128GB SSD Windows 11 Home S(Refurbished)",in stock,new,279.99 USD,https://store.flexshopper.com/hp-15-fd0083wm-156-hd-laptop-intel-pentium-n200-11ghz-4gb-ram-128gb-ssd-windows-11-home-srefurbished-2tlhp7l2c7uar,http://localhost:3000/resized/2TL_HP7L2C7UAR.jpg,Flexshopper,10000,42,8.35 USD,https://store.flexshopper.com/media/catalog/product/H/P/HP-15-6-Intel-Processor-N200-Pentium-4GB-RAM-128GB-UFS-Scarlet-Red-Windows-11-Home-in-S-Mode-15-fd0083wm_3aa1e6a9-fe17-4282-8fe6-ff899b81ac70.88de7282a44fbd262f7b4d64b007bf1a.jpeg,,,,ab476d452af07ec99e16da2e3d3fdc0c,https://store.flexshopper.com/media/catalog/product/H/P/HP-15-6-Intel-Processor-N200-Pentium-4GB-RAM-128GB-UFS-Scarlet-Red-Windows-11-Home-in-S-Mode-15-fd0083wm_3aa1e6a9-fe17-4282-8fe6-ff899b81ac70.88de7282a44fbd262f7b4d64b007bf1a.jpeg
2TL_HP7S4D0UAR-1,"HP 15.6"" HD Chromebook Laptop  Intel Pentium Silver N6000  8GB RAM  64GB eMMC  Mineral Silver  15a-na0058wm (Refurbished)","HP 15.6"" HD Chromebook Laptop  Intel Pentium Silver N6000  8GB RAM  64GB eMMC  Mineral Silver  15a-na0058wm (Refurbished)",in stock,new,249.99 USD,https://store.flexshopper.com/hp-156-hd-chromebook-laptop-intel-pentium-silver-n6000-8gb-ram-64gb-emmc-mineral-silver-15a-na0058wm-refurbished-2tlhp7s4d0uar-1,http://localhost:3000/resized/2TL_HP7S4D0UAR-1.jpg,Flexshopper,10000,42,7.45 USD,https://store.flexshopper.com/media/catalog/product/H/P/HP-15-6-HD-Chromebook-Laptop-Intel-Pentium-Silver-N6000-8GB-RAM-128GB-eMMC-Mineral-Silver-15a-na0058wm_2cb9f52d-a189-451a-abbf-5bb604291552.a484006c7e4c615d975d7a855575714e.jpeg,,,,5c3fb897ffc83e69a8069c384335539b,https://store.flexshopper.com/media/catalog/product/H/P/HP-15-6-HD-Chromebook-Laptop-Intel-Pentium-Silver-N6000-8GB-RAM-128GB-eMMC-Mineral-Silver-15a-na0058wm_2cb9f52d-a189-451a-abbf-5bb604291552.a484006c7e4c615d975d7a855575714e.jpeg
2TL_HP86S56AAR,"HP 27-CR0019 27"" FHD All-In-One Intel Core i5-1335U 1.3GHz 16GB Ram 512GB SSD Windows 11 Home White (Refurbished)","HP 27-CR0019 27"" FHD All-In-One Intel Core i5-1335U 1.3GHz 16GB Ram 512GB SSD Windows 11 Home White (Refurbished)",in stock,new,829.99 USD,https://store.flexshopper.com/hp-27-cr0019-27-fhd-all-in-one-intel-core-i5-1335u-13ghz-16gb-ram-512gb-ssd-windows-11-home-white-refurbished-2tlhp86s56aar,http://localhost:3000/resized/2TL_HP86S56AAR.jpg,Flexshopper,10000,42,24.74 USD,https://store.flexshopper.com/media/catalog/product/r/e/renn_f09bf5a493982f535819a762beed1033.jpeg,,,,60c46ac2870b2eba3eb1770e1b76e19b,https://store.flexshopper.com/media/catalog/product/r/e/renn_f09bf5a493982f535819a762beed1033.jpeg
ACO_2AP13000A,Arctic Wind - 13 000 BTU ASHRAE (8 000 BTU DOE) Portable Air Conditioner,Arctic Wind - 13 000 BTU ASHRAE (8 000 BTU DOE) Portable Air Conditioner,in stock,new,649.99 USD,https://store.flexshopper.com/arctic-wind-13000-btu-ashrae-8000-btu-doe-portable-air-conditioner-aco2ap13000a,http://localhost:3000/resized/ACO_2AP13000A.jpg,Flexshopper,10000,42,19.37 USD,https://store.flexshopper.com/media/catalog/product/2/a/2ap13000a.jpg,,,,f9cfcfa12af9e230af5308517c9d5ed6,https://store.flexshopper.com/media/catalog/product/2/a/2ap13000a.jpg
ACO_AHW0521K1W,5 000 BTU Window Air Conditioner with Mechanical Rotary Controls,5 000 BTU Window Air Conditioner with Mechanical Rotary Controls,in stock,new,229.99 USD,https://store.flexshopper.com/5000-btu-window-air-conditioner-with-mechanical-rotary-controls-acoahw0521k1w,http://localhost:3000/resized/ACO_AHW0521K1W.jpg,Flexshopper,10000,42,6.86 USD,https://store.flexshopper.com/media/catalog/product/6/6/66d4253e2f734600099fc030d03f8874.jpg,,,,40af099c122d73fa2589206227a22d9d,https://store.flexshopper.com/media/catalog/product/6/6/66d4253e2f734600099fc030d03f8874.jpg
ACO_AHW0823TW1W,8 000 BTU Smart Window Inverter Air Conditioner with Wi-fi and Remote Control,8 000 BTU Smart Window Inverter Air Conditioner with Wi-fi and Remote Control,in stock,new,429.99 USD,https://store.flexshopper.com/8000-btu-smart-window-inverter-air-conditioner-with-wi-fi-and-remote-control-acoahw0823tw1w,http://localhost:3000/resized/ACO_AHW0823TW1W.jpg,Flexshopper,10000,42,12.82 USD,https://store.flexshopper.com/media/catalog/product/3/e/3e4c5d973c0739a0bf24cf73d2b33d5e.jpg,,,,5d9cce3de6a63526446d386c23343d03,https://store.flexshopper.com/media/catalog/product/3/e/3e4c5d973c0739a0bf24cf73d2b33d5e.jpg
ACO_AMAP084AW,Amana - 8 000 BTU (5 500 DOE) Portable AC,Amana - 8 000 BTU (5 500 DOE) Portable AC,in stock,new,499.99 USD,https://store.flexshopper.com/amana-8000-btu-5500-doe-portable-ac-acoamap084aw,http://localhost:3000/resized/ACO_AMAP084AW.jpg,Flexshopper,10000,42,14.9 USD,https://store.flexshopper.com/media/catalog/product/7/e/7e52ae7a4033cd0535bc36d1751c8ca3.jpg,,,,7932bdd5f65d63a6cfed1badda6731b2,https://store.flexshopper.com/media/catalog/product/7/e/7e52ae7a4033cd0535bc36d1751c8ca3.jpg
